From	To
P09242	Alpl
Q61838	Pzp
Q91X72	Hpx
Q7M747	Scgb2b24
Q61207	Psap
Q9D3H2	Obp1a
P49183	Dnase1
Q8C7G5	Apoa5
P18761	Ca6
Q9DBE0	Csad
Q9ESB3	Hrg
A2AEP0	Obp1b
F6VAN0	Atf6
Q61475	Cd55
P11590	Mup4
P62806	H4c1
P62806	H4c11
P62806	H4c12
P62806	H4c14
P62806	H4c16
P62806	H4c2
P62806	H4c3
P62806	H4c4
P62806	H4c6
P62806	H4c8
P62806	H4c9
P62806	Hist1h4m
O88947	F10
P14847	Crp
Q6UGQ3	Scgb2b2
P02301	H3-5
P68433	H3c1
P68433	H3c10
P68433	H3c11
P68433	H3c8
P84228	H3c13
P84228	H3c14
P84228	H3c15
P84228	H3c2
P84228	H3c3
P84228	H3c4
P84228	H3c6
P84228	H3c7
P84244	H3-3a
P84244	H3-3b
P02772	Afp
Q61592	Gas6
P98063	Bmp1
Q9QUN9	Dkk3
Q8CG19	Ltbp1
Q8BH27	Megf9
P08121	Col3a1
P10853	H2bc11
P10853	H2bc13
P10853	H2bc15
P10853	H2bc7
P10854	H2bc14
Q64475	H2bc3
Q64478	H2bc9
Q64525	H2bc18
Q6ZWY9	H2bc4
Q6ZWY9	H2bc6
Q6ZWY9	H2bc8
Q8CGP1	H2bc12
Q8CGP2	Hist1h2bp
P33434	Mmp2
Q64471	Gstt1
Q9JHH6	Cpb2
Q8R121	Serpina10
O89026	Robo1
P01592	Jchain
Q9WUU7	Ctsz
Q6ZQ38	Cand1
Q91Z53	Grhpr
Q60847	Col12a1
P62962	Pfn1
P11589	Mup2
P35330	Icam2
P28474	Adh5
P00920	Ca2
Q8BK62	Olfml3
P13634	Ca1
P26039	Tln1
Q9JHK5	Plek
O55226	Chad
O88803	Lect2
B2RPV6	Mmrn1
O89017	Lgmn
P11087	Col1a1
P26262	Klkb1
Q9Z126	Pf4
P33622	Apoc3
Q76MZ3	Ppp2r1a
P10639	Txn
Q9WVA4	Tagln2
P97290	Serping1
Q9WV32	Arpc1b
P57776	Eef1d
Q8VDD5	Myh9
P02816	Pip
P40124	Cap1
Q9QUI0	Rhoa
O88200	Clec11a
Q06806	Tie1
Q01405	Sec23a
E9PV24	Fga
P17563	Selenbp1
P12399	Ctla2a
P01837	Igkc
Q05020	Apoc2
Q7TPR4	Actn1
Q923D2	Blvrb
Q8R146	Apeh
P21180	C2
Q61581	Igfbp7
P97333	Nrp1
Q8K426	Retnlg
O09049	Reg3g
P29699	Ahsg
P20152	Vim
Q4ZJN1	C1qtnf9
Q61171	Prdx2
Q8BH00	Aldh8a1
Q61830	Mrc1
O08742	Gp5
Q9JHI0	Mmp19
P68368	Tuba4a
P56375	Acyp2
Q8CHR6	Dpyd
Q8CAY6	Acat2
P01758	Igh-VJ558
A3KMP2	Ttc38
Q8VCG4	C8g
P27808	Mgat1
Q04857	Col6a1
Q9DD06	Rarres2
P11276	Fn1
Q8VDK1	Nit1
Q02788	Col6a2
P12023	App
Q06770	Serpina6
Q9CQM5	Txndc17
P25785	Timp2
Q64446	Atp7b
P16056	Met
Q06318	Scgb1a1
O70251	Eef1b
P82198	Tgfbi
P18760	Cfl1
P04202	Tgfb1
P55288	Cdh11
Q9CZU6	Cs
Q9CQI6	Cotl1
P18242	Ctsd
P09103	P4hb
Q08481	Pecam1
P55065	Pltp
P11725	Otc
Q9DCQ2	Aspdh
P21107	Tpm3
Q00612	G6pdx
Q6PDE7	Ggt6
P16014	Chgb
P26339	Chga
P18531	Ighv3-6
P04939	Mup3
Q9CPY7	Lap3
P24369	Ppib
P27656	Lipc
Q8K558	Treml1
Q61245	Col11a1
P27931	Il1r2
Q01730	Rsu1
P09803	Cdh1
Q61900	Smr3a
Q60590	Orm1
Q8R016	Blmh
P31532	Saa4
P35492	Hal
Q01149	Col1a2
P97797	Sirpa
P15327	Bpgm
C0HKE1	H2ac4
C0HKE2	H2ac6
C0HKE3	H2ac7
C0HKE4	H2ac8
C0HKE5	H2ac11
C0HKE6	H2ac13
C0HKE7	Hist1h2an
C0HKE8	Hist1h2ao
C0HKE9	Hist1h2ap
Q64523	H2ac20
Q6GSS7	Hist2h2aa1
Q6GSS7	Hist2h2aa2
Q8BFU2	H2ac25
Q8CGP5	Hist1h2af
Q8CGP6	H2ac12
Q8CGP7	H2ac15
Q8R1M2	H2aj
O08529	Capn2
P98064	Masp1
Q9QUM9	Psma6
P09528	Fth1
Q9WU78	Pdcd6ip
P09036	Spink1
Q9QZZ6	Dpt
P51437	Camp
Q05793	Hspg2
P43025	Clec3b
Q8VCT3	Rnpep
Q9WTR5	Cdh13
O88844	Idh1
P20918	Plg
P18337	Sell
O35136	Ncam2
P06728	Apoa4
P70194	Clec4f
Q9CWJ9	Atic
P31725	S100a9
Q3UM45	Ppp1r7
O09173	Hgd
Q64437	Adh7
Q9D1Q6	Erp44
P48356	Lepr
Q8BM72	Hspa13
Q9R0E1	Plod3
P63028	Tpt1
Q07797	Lgals3bp
Q8R242	Ctbs
P01633	Igkv6-17
Q9QXE0	Hacl1
O70435	Psma3
P08003	Pdia4
P61939	Serpina7
Q9R1P1	Psmb3
Q920E5	Fdps
P51855	Gss
P14069	S100a6
Q02105	C1qc
Q9D2H9	Dnaaf1
P01899	H2-D1
P21570	Ang
O09131	Gsto1
Q9ESY9	Ifi30
O35744	Chil3
P51910	Apod
P70349	Hint1
P27046	Man2a1
P35441	Thbs1
Q8VCF1	Cant1
Q99J08	Sec14l2
P33587	Proc
Q61268	Apoc4
P11247	Mpo
P49290	Epx
Q9JKR6	Hyou1
P97430	Slpi
P61027	Rab10
P60335	Pcbp1
P12960	Cntn1
P56395	Cyb5a
P58389	Ptpa
P49182	Serpind1
