ID	geneID
HP_ADRENAL_HYPOPLASIA	Robo1
HP_ADRENAL_HYPOPLASIA	Adh5
GOBP_RENAL_PROTEIN_ABSORPTION	Gas6
GOBP_VITAMIN_B6_METABOLIC_PROCESS	Alpl
GOMF_INORGANIC_DIPHOSPHATASE_ACTIVITY	Alpl
GOMF_ALKALINE_PHOSPHATASE_ACTIVITY	Alpl
HP_ABNORMALITY_OF_ADRENAL_MORPHOLOGY	Robo1
HP_ABNORMALITY_OF_ADRENAL_MORPHOLOGY	Adh5
GOBP_CORTISOL_BIOSYNTHETIC_PROCESS	Dkk3
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE	Myh9
GOBP_REGULATION_OF_GLOMERULAR_FILTRATION	Gas6
GOBP_CORTISOL_METABOLIC_PROCESS	Dkk3
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	Gas6
GOMF_NUCLEOSIDE_DIPHOSPHATASE_ACTIVITY	Alpl
WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION	Alpl
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	Gas6
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	H2bc14
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	H2bc4
PIONTEK_PKD1_TARGETS_DN	Afp
GOBP_RENAL_ABSORPTION	Gas6
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	Dkk3
WP_FGF23_SIGNALING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS	Alpl
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	Gas6
HP_ABNORMALITY_OF_THE_ADRENAL_GLANDS	Robo1
HP_ABNORMALITY_OF_THE_ADRENAL_GLANDS	Adh5
GOBP_RENAL_FILTRATION	Gas6
GOBP_ADRENAL_GLAND_DEVELOPMENT	Dkk3
GOBP_DNA_CATABOLIC_PROCESS	Dnase1
