ID	geneID
GOBP_ACUTE_PHASE_RESPONSE	Orm1
GOBP_ACUTE_PHASE_RESPONSE	Orm2
GOBP_ACUTE_PHASE_RESPONSE	Apcs
GOBP_ACUTE_PHASE_RESPONSE	Serpina3m
GOBP_ACUTE_PHASE_RESPONSE	Hamp
GOBP_ACUTE_PHASE_RESPONSE	Hp
GOBP_ACUTE_PHASE_RESPONSE	Lbp
GOBP_ACUTE_PHASE_RESPONSE	Itih4
GOBP_ACUTE_PHASE_RESPONSE	Serpina1e
GOBP_ACUTE_PHASE_RESPONSE	Serpina3n
GOBP_ACUTE_PHASE_RESPONSE	Saa1
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Orm1
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Orm2
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Apcs
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Apoa2
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Serpina3m
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Hamp
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Hp
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Lbp
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Itih4
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Serpina1e
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Serpina3n
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Vnn1
GOBP_ACUTE_INFLAMMATORY_RESPONSE	Saa1
GOCC_PLATELET_DENSE_GRANULE	Itih3
GOCC_PLATELET_DENSE_GRANULE	Spp2
GOCC_PLATELET_DENSE_GRANULE	Itih4
GOCC_PLATELET_DENSE_GRANULE	Lamp2
GOCC_PLATELET_DENSE_GRANULE	Clec3b
HP_RENAL_STEATOSIS	Apob
HP_RENAL_STEATOSIS	Pcsk9
HP_RENAL_STEATOSIS	Pck1
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN	Serpina1e
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN	Acta1
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN	Igkc
GOBP_PHOSPHAGEN_METABOLIC_PROCESS	Ckb
GOBP_PHOSPHAGEN_METABOLIC_PROCESS	Ckm
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	Nrp2
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	Kit
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	Igf2r
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	Tie1
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	Met
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	H2-Q10
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	Ambp
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	B2m
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	Serpina1e
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	Ctrb1
GOMF_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	Ckb
GOMF_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	Ckm
COATES_MACROPHAGE_M1_VS_M2_DN	H2-Q10
COATES_MACROPHAGE_M1_VS_M2_DN	F10
COATES_MACROPHAGE_M1_VS_M2_DN	Ctsl
COATES_MACROPHAGE_M1_VS_M2_DN	Igf2r
COATES_MACROPHAGE_M1_VS_M2_DN	Lbp
HP_RENAL_AMYLOIDOSIS	B2m
HP_RENAL_AMYLOIDOSIS	Saa1
WP_INFLAMMATORY_RESPONSE_PATHWAY	Col1a1
WP_INFLAMMATORY_RESPONSE_PATHWAY	Il2rg
WP_INFLAMMATORY_RESPONSE_PATHWAY	Col1a2
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY_PHOSPHOTRANSFERASES	Pgam1
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY_PHOSPHOTRANSFERASES	Pgam2
HP_CARDIOVASCULAR_CALCIFICATION	B2m
HP_CARDIOVASCULAR_CALCIFICATION	Apob
