ID	geneID
GOBP_VITAMIN_B6_METABOLIC_PROCESS	Alpl
GOMF_INORGANIC_DIPHOSPHATASE_ACTIVITY	Alpl
GOMF_ALKALINE_PHOSPHATASE_ACTIVITY	Alpl
GOMF_NUCLEOSIDE_DIPHOSPHATASE_ACTIVITY	Alpl
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	S100a9
WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION	Alpl
GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	S100a9
WP_FGF23_SIGNALING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS	Alpl
HP_ABNORMAL_BLOOD_PHOSPHATE_CONCENTRATION	Alpl
JIANG_HYPOXIA_CANCER	Arpc3
GOBP_BONE_MINERALIZATION	Alpl
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	S100a9
GOBP_RESPONSE_TO_CORTICOSTEROID	Alpl
